name,award,year,region,dl_profile,double_underscore_content
"Corbato, Fernando J",ACM A. M. Turing Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100474167,
"Perez, Fernando",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Boillod-Cerneux, France",ACM Gordon Bell Prize,2022,Europe,https://dl.acm.orgN/A,
"Allen, Frances",ACM Programming Systems and Languages Paper Award,1976,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100651807,
"Allen, Frances",ACM A. M. Turing Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100651807,
"Berman, Francine",ACM-IEEE CS Ken Kennedy Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100425787,
"Gygi, Francois",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81343493914,
"Friedman, Frank L",Outstanding Contribution to ACM Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339499936,
"McSherry, Frank",ACM Paris Kanellakis Theory and Practice Award,2021,North America,https://dl.acm.orgN/A,
"Kaashoek, Frans",ACM Prize in Computing,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100521650,
"Franchetti, Franz",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100496091,
"Alt, Franz L",ACM Distinguished Service Award,1970,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100482065,
"Borneff, Franziska",ACM/CSTA Cutler-Bell Prize in High School Computing,2023,North America,https://dl.acm.orgN/A,
"Harris, Fred H",Outstanding Contribution to ACM Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81406594335,
"Brooks, Frederick",ACM Distinguished Service Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100077256,
"Brooks, Frederick",ACM AAAI Allen Newell Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100077256,
"Brooks, Frederick",ACM A. M. Turing Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100077256,
"Brooks, Frederick",ACM-IEEE CS Eckert-Mauchly Award,2004,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100077256,
"Streitz, Frederick H",ACM Gordon Bell Prize,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100032358,
"Shoji, Fumiyoshi",ACM Gordon Bell Prize,2011,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81487646633,
"Sussman, Gerald",ACM Karl V. Karlstrom Outstanding Educator Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100636113,
"Farina, Gabriele",ACM Doctoral Dissertation Award,2023,North America,https://dl.acm.orgN/A,
"Gupta, Gagan",ACM-IEEE CS George Michael Memorial HPC Fellowships,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81435596553,
"Gibson, Garth A",ACM Doctoral Dissertation Award,1991,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339501408,
"Miller, Gary L",ACM Paris Kanellakis Theory and Practice Award,2003,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100160771,
"Amdahl, Gene M.",ACM-IEEE CS Eckert-Mauchly Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100318003,
"Gill, Gennette",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81310482610,
"Hinton, Geoffrey E",ACM A. M. Turing Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100505762,
"Fox, Geoffrey",ACM-IEEE CS Ken Kennedy Award,2019,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100501616,
"Stadler, Georg",ACM Gordon Bell Prize,2015,North America,https://dl.acm.orgN/A,
"Biros, George",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100478614,
"Forsythe, George E.",ACM Distinguished Service Award,1972,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81341490324,
"Karniadakis, George",ACM Gordon Bell Prize,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100053754,
"Karniadakis, George",SIAM/ACM Prize in Computational Science and Engineering,2021,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100053754,
"Baird, George N.",ACM Grace Murray Hopper Award,1974,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81413599443,
"Necula, George",ACM Grace Murray Hopper Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100295630,
"Combs, Gerald",ACM Software System Award,2018,North America,https://dl.acm.orgN/A,
"Held, Gerald",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339504181,
"Holzmann, Gerard J.",ACM Software System Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100589732,
"Holzmann, Gerard J.",ACM Paris Kanellakis Theory and Practice Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100589732,
"Huet, Gerard P",ACM Software System Award,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81408602136,
"Schimpf, Gerhard",ACM Presidential Award,2016,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100209433,
"Goos, Gerhard T",ACM Distinguished Service Award,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100584316,
"Heiser, Gernot",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81310487607,
"Klein, Gerwin",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orgN/A,
"Putzolu, Gianfranco",ACM Programming Systems and Languages Paper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100556097,
"Putzolu, Gianfranco",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100556097,
"Manzini, Giovanni",ACM Paris Kanellakis Theory and Practice Award,2022,Europe,https://dl.acm.orgN/A,
"Graefe, Goetz",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100438965,
"Alvarez, Gonzalo",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81324487557,
"Panigrahi, Gourab",ACM Gordon Bell Prize,2023,Asia,https://dl.acm.orgN/A,
"Hopper, Grace Murray",ACM Distinguished Service Award,1983,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100172438,
"Adams, Greg",ACM Software System Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81330487817,
"Brown, Gregory",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orgN/A,
"Abowd, Gregory D.",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100251687,
"Valiant, Gregory",ACM Doctoral Dissertation Award,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81350582572,
"Ballard, Grey",ACM Doctoral Dissertation Award,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81440608748,
"Fernandez, Guillermo Indalecio",ACM Gordon Bell Prize,2019,Europe,https://dl.acm.orgN/A,
"Sohi, Gurindar S",ACM-IEEE CS Eckert-Mauchly Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100336064,
"Blelloch, Guy",ACM Paris Kanellakis Theory and Practice Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100282539,
"Steele, Guy L",ACM Grace Murray Hopper Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100586340,
"Bhanot, Gyan",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100103571,
"Lachover, Hagi",ACM Software System Award,2007,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100194738,
"Al Hassanieh, Haitham",ACM Doctoral Dissertation Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81467671394,
"Abelson, Hal",ACM Karl V. Karlstrom Outstanding Educator Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100545180,
"Berghel, Hal",ACM Distinguished Service Award,1996,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100025549,
"Berghel, Hal",Outstanding Contribution to ACM Award,2000,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100025549,
"Wang, Han",ACM Gordon Bell Prize,2020,Asia,https://dl.acm.orgN/A,
"Samet, Hanan",ACM Paris Kanellakis Theory and Practice Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100139629,
"Guan, Hannah",ACM/CSTA Cutler-Bell Prize in High School Computing,2022,North America,https://dl.acm.orgN/A,
"Fu, Haohuan",ACM Gordon Bell Prize,2016,Asia,https://dl.acm.orgN/A,
"Fu, Haohuan",ACM Gordon Bell Prize,2017,Asia,https://dl.acm.orgN/A,
"Fu, Haohuan",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Balakrishnan, Hari",ACM Doctoral Dissertation Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100504069,
"Bharatia, Harshal V",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America,https://dl.acm.orgN/A,
"Menon, Harshitha",ACM-IEEE CS George Michael Memorial HPC Fellowships,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81550772356,
"Cragon, Harvey G",ACM-IEEE CS Eckert-Mauchly Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100391901,
"Tuch, Harvey",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orgN/A,
"Gunawi, Haryadi S",ACM Doctoral Dissertation Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100603773,
"Geffner, Hector",ACM Doctoral Dissertation Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100204842,
"Levesque, Hector J.",ACM AAAI Allen Newell Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100206923,
"Huang, Heliang",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Ma, Heng",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Shen, Heng Tao",CCF-ACM Award for Artificial Intelligence,2022,Asia,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81375593454,
"Vincenti, Henri Paul",ACM Gordon Bell Prize,2022,Europe,https://dl.acm.orgN/A,
"Kautz, Henry A",ACM AAAI Allen Newell Award,2018,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100016626,
"Baird, Henry",ACM Doctoral Dissertation Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100313185,
"Corrigan-Gibbs, Henry",ACM Doctoral Dissertation Award,2020,North America,https://dl.acm.orgN/A,
"Simon, Herbert A",ACM A. M. Turing Award,1975,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100527918,
"Maisel, Herbert",Outstanding Contribution to ACM Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100495282,
"Shah, Hiya",ACM/CSTA Cutler-Bell Prize in High School Computing,2021,North America,https://dl.acm.orgN/A,
"Zhang, Hong",SIAM/ACM Prize in Computational Science and Engineering,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100120584,
"You, Hongtao",ACM Gordon Bell Prize,2016,Asia,https://dl.acm.orgN/A,
"Shan, Hongzhang",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339527494,
"Toma, Horia",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Simon, Horst D",ACM Gordon Bell Prize,2009,Middle East,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339528640,
"Huang, Hua",ACM-IEEE CS George Michael Memorial HPC Fellowships,2023,North America,https://dl.acm.orgN/A,
"Chen, Huarong",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Foster, Ian T",ACM-IEEE CS Ken Kennedy Award,2022,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100123316,
"Foster, Ian T",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100123316,
"Laguna, Ignacio",ACM-IEEE CS George Michael Memorial HPC Fellowships,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339511038,
"Lashuk, Ilya",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81350573469,
"Stoica, Ion",ACM Doctoral Dissertation Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100294250,
"Dinur, Irit",ACM Paris Kanellakis Theory and Practice Award,2021,Europe,https://dl.acm.orgN/A,
"Traiger, Irv",ACM Programming Systems and Languages Paper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100283332,
"Traiger, Irv",ACM Programming Systems and Languages Paper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100283332,
"Traiger, Irv",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100283332,
"Puri, Isha",ACM/CSTA Cutler-Bell Prize in High School Computing,2018,North America,https://dl.acm.orgN/A,
"Sutherland, Ivan",ACM A. M. Turing Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100265287,
"Sutherland, Ivan",ACM Software System Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100265287,
"Moore, J Strother",ACM Software System Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81342504985,
"Butts, J. Adam",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Madden, J. Don",ACM Distinguished Service Award,1971,North America,https://dl.acm.orgN/A,
"Wilkinson, J. H.",ACM A. M. Turing Award,1970,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81341498480,
"Lee, J.A.N.",ACM Distinguished Service Award,1993,North America,https://dl.acm.orgN/A,
"Lee, J.A.N.",Outstanding Contribution to ACM Award,1981,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452600467,
"Grossman, J.P.",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100477936,
"Grossman, J.P.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100477936,
"Hamrick, Jessica",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Andronick, June",ACM Software System Award,2022,Pacific Rim,https://dl.acm.orgN/A,
"Chao, Jack C.",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81331490357,
"Davidson, Jack",Outstanding Contribution to ACM Award,2023,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100099215,
"Dennis, Jack",ACM-IEEE CS Eckert-Mauchly Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100009502,
"Deslippe, Jack",ACM Gordon Bell Prize,2018,North America,https://dl.acm.orgN/A,
"Minker, Jack",Outstanding Contribution to ACM Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100284549,
"Minker, Jack",ACM AAAI Allen Newell Award,2005,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100284549,
"Slonim, Jacob",ACM Doctoral Dissertation Award,1980,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100046046,
"Jourdan, Jacques-Henri",ACM Software System Award,2021,Europe,https://dl.acm.orgN/A,
"Tarnawski, Jakub",ACM Doctoral Dissertation Award,2019,Europe,https://dl.acm.orgN/A,
"White, James B.",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Sexton, James C.",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81343504806,
"Sexton, James C.",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81343504806,
"Demmel, James",ACM Paris Kanellakis Theory and Practice Award,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81452606789,
"Smith, James E.",ACM-IEEE CS Eckert-Mauchly Award,1999,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100084769,
"Thornton, James E.",ACM-IEEE CS Eckert-Mauchly Award,1994,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339532631,
"Foucar, James",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Goodman, James",ACM-IEEE CS Eckert-Mauchly Award,2013,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339501492,
"Gosling, James",ACM Software System Award,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100031518,
"Pauloski, James Gregory",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Pauloski, James Gregory",ACM-IEEE CS George Michael Memorial HPC Fellowships,2023,North America,https://dl.acm.orgN/A,
"Pomerene, James H",ACM-IEEE CS Eckert-Mauchly Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81384621748,
"Davis, James J.",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Kistler, James J.",ACM Doctoral Dissertation Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100219912,
"Korein, James",ACM Doctoral Dissertation Award,1984,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100272119,
"Adams, James M.",Outstanding Contribution to ACM Award,1992,North America,https://dl.acm.orgN/A,
"Glosli, James N",ACM Gordon Bell Prize,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81343493517,
"Phillips, James",ACM Gordon Bell Prize,2020,North America,https://dl.acm.orgN/A,
"Gecsei, Jan",ACM Programming Systems and Languages Paper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100296665,
"van Leeuwen, Jan",ACM Distinguished Service Award,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100186523,
"Cuny, Janice",ACM Presidential Award,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100540551,
"Cuny, Janice",ACM Distinguished Service Award,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100540551,
"Grout, Jason",ACM Software System Award,2017,North America,https://dl.acm.orgN/A,
"Krishna, Jayesh",ACM Gordon Bell Prize for Climate Modelling,2023,North America,https://dl.acm.orgN/A,
"Sammet, Jean E",ACM Distinguished Service Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100252827,
"Vuillemin, Jean",ACM Programming Systems and Languages Paper Award,1974,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339534057,
"Tristan, Jean-Baptiste",ACM Software System Award,2021,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81342514111,
"Filliâtre, Jean-Christophe",ACM Software System Award,2013,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100188618,
"Vay, Jean-Luc",ACM Gordon Bell Prize,2022,North America,https://dl.acm.orgN/A,
"Wing, Jeannette M.",ACM Distinguished Service Award,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81339536422,
"Brown, Jed",SIAM/ACM Prize in Computational Science and Engineering,2015,North America,https://dl.acm.orgN/A,
"Rulifson, Jeff",ACM Software System Award,1990,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100655223,
"Dean, Jeffrey A",ACM Prize in Computing,2012,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100248818,
"Ullman, Jeffrey D",ACM Karl V. Karlstrom Outstanding Educator Award,1997,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100314798,
"Ullman, Jeffrey D",ACM A. M. Turing Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100314798,
"Naughton, Jeffrey F",ACM Software System Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100509752,
"Kuskin, Jeffrey",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100224693,
"Kuskin, Jeffrey",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100224693,
"Larkin, Jeffrey M.",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81372590738,
"Larkin, Jeffrey M.",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81372590738,
"Heer, Jeffrey Michael",ACM Grace Murray Hopper Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100465553,
"Vetter, Jeffrey S",ACM Gordon Bell Prize,2010,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100367555,
"Nelson, Jelani",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2022,North America,https://dl.acm.orgN/A,
"Chayes, Jennifer",ACM Distinguished Service Award,2020,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100381767,
"Widom, Jennifer",ACM Athena Lecturer Award,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100278437,
"Meredith, Jeremy",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100129666,
"Sugerman, Jeremy",ACM Software System Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100529660,
"Labarta, Jesus",ACM-IEEE CS Ken Kennedy Award,2017,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100040376,
"Wu, Jiajun",ACM Doctoral Dissertation Award,2019,Asia,https://dl.acm.orgN/A,
"Song, Jiawei",ACM Gordon Bell Prize,2021,Asia,https://dl.acm.orgN/A,
"Gray, Jim",ACM Programming Systems and Languages Paper Award,1982,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100403088,
"Gray, Jim",ACM Software System Award,1988,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100403088,
"Gray, Jim",ACM A. M. Turing Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100403088,
"Spengler, Jochen",ACM Gordon Bell Prize,2014,North America,https://dl.acm.orgN/A,
"Killian, Joe",ACM Doctoral Dissertation Award,1989,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332508714,
"Emer, Joel",ACM-IEEE CS Eckert-Mauchly Award,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100304560,
"Kundu, Jogendra Nath",ACM India Doctoral Dissertation Award,2023,Asia,https://dl.acm.orgN/A,
"Torkel Hastad, Johan",ACM Doctoral Dissertation Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100025353,
"Rudi, Johann",ACM Gordon Bell Prize,2015,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81549127056,
"Rudi, Johann",ACM-IEEE CS George Michael Memorial HPC Fellowships,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81549127056,
"Schoening, Johannes",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2012,Europe,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81508685058,
"Gunnels, John A.",ACM Gordon Bell Prize,2006,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100224150,
"Bell, John B.",SIAM/ACM Prize in Computational Science and Engineering,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100406454,
"Backus, John",ACM A. M. Turing Award,1977,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100233661,
"Blitch, John",ACM Eugene L. Lawler Award for Humanitarian Contributions within Computer Science and Informatics,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100181533,
"Duchi, John C.",ACM Doctoral Dissertation Award,2014,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81421597874,
"Reynolds, John C",ACM Programming Systems and Languages Paper Award,1971,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100470240,
"Canny, John",ACM Doctoral Dissertation Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100415489,
"Cocke, John",ACM Programming Systems and Languages Paper Award,1976,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81342491861,
"Cocke, John",ACM-IEEE CS Eckert-Mauchly Award,1985,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81342491861,
"Cocke, John",ACM A. M. Turing Award,1987,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81342491861,
"Crawford, John",ACM-IEEE CS Eckert-Mauchly Award,1995,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100602692,
"Duimovich, John",ACM Software System Award,2011,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100404201,
"Hopcroft, John E",ACM A. M. Turing Award,1986,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100008350,
"Hopcroft, John E",ACM Karl V. Karlstrom Outstanding Educator Award,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100008350,
"Gage, John",ACM Presidential Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100440336,
"Gorgone, John",ACM Karl V. Karlstrom Outstanding Educator Award,2002,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100577301,
"Gunnels, John",ACM Gordon Bell Prize,2007,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100224150,
"Howard, John H",ACM Software System Award,2016,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332504981,
"Esbin, John H. (Jack)",Outstanding Contribution to ACM Award,1993,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81332497711,
"Hennessy, John L",ACM-IEEE CS Eckert-Mauchly Award,2001,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100207767,
"Hennessy, John L",ACM A. M. Turing Award,2017,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100207767,
"Klepeis, John L.",ACM Gordon Bell Prize,2009,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81321487770,
"Abowd, John M",ACM Policy Award,2023,North America,https://dl.acm.orgN/A,
"Chambers, John M.",ACM Software System Award,1998,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81343489824,
"Levesque, John M.",ACM Gordon Bell Prize,2008,North America,https://dl.acm.orghttps://dl.acm.org/author_page.cfm?id=81100206504,
